id,codigo,nombre
"66","06329",General Las Heras
"67","06336",General Lavalle
"68","06343",General Paz
"69","06351",General Pinto
"70","06357",General Pueyrredón
"71","06364",General Rodríguez
"72","06371",General San Martín
"73","06385",General Viamonte
"74","06392",General Villegas
"75","06399",Guaminí
"76","06406",Hipólito Yrigoyen
"77","06408",Hurlingham
"78","06410",Ituzaingó
"79","06412",José C. Paz
"80","06413",Junín
"81","06420",La Costa
"82","06427",La Matanza
"83","06434",Lanús
"84","06441",La Plata
"85","06448",Laprida
"86","06455",Las Flores
"87","06462",Leandro N. Alem
"88","06469",Lincoln
"89","06476",Lobería
"90","06483",Lobos
"91","06490",Lomas de Zamora
"92","06497",Luján
"93","06505",Magdalena
"94","06511",Maipú
"95","06515",Malvinas Argentinas
"96","06518",Mar Chiquita
"97","06525",Marcos Paz
"98","06532",Mercedes
"99","06539",Merlo
"100","06547",Monte
"101","06553",Monte Hermoso
"102","06560",Moreno
"103","06568",Morón
"104","06574",Navarro
"105","06581",Necochea
"106","06588",9 de Julio
"107","06595",Olavarría
"108","06602",Patagones
"109","06609",Pehuajó
"110","06616",Pellegrini
"111","06623",Pergamino
"112","06630",Pila
"113","06638",Pilar
"114","06644",Pinamar
"115","06648",Presidente Perón
"116","06651",Puán
"117","06655",Punta Indio
"118","06658",Quilmes
"119","06665",Ramallo
"120","06672",Rauch
"121","06679",Rivadavia
"122","06686",Rojas
"123","06693",Roque Pérez
"124","06700",Saavedra
"125","06707",Saladillo
"126","06714",Salto
"127","06721",Salliqueló
"128","06728",San Andrés de Giles
"129","06735",San Antonio de Areco
"130","06742",San Cayetano
"131","06749",San Fernando
"132","06756",San Isidro
"133","06760",San Miguel
"134","06763",San Nicolás
"135","06770",San Pedro
"136","06778",San Vicente
"137","06784",Suipacha
"138","06791",Tandil
"139","06798",Tapalqué
"140","06805",Tigre
"141","06812",Tordillo
"142","06819",Tornquist
"143","06826",Trenque Lauquen
"144","06833",Tres Arroyos
"145","06840",Tres de Febrero
"146","06847",Tres Lomas
"147","06854",25 de Mayo
"148","06861",Vicente López
"149","06868",Villa Gesell
"150","06875",Villarino
"151","06882",Zárate
"152","10007",Ambato
"153","10014",Ancasti
"154","10021",Andalgalá
"155","10028",Antofagasta de la Sierra
"156","10035",Belén
"157","10042",Capayán
"158","10049",Capital
"159","10056",El Alto
"160","10063",Fray Mamerto Esquiú
"161","10070",La Paz
"162","10077",Paclín
"163","10084",Pomán
"164","10091",Santa María
"165","10098",Santa Rosa
"166","10105",Tinogasta
"167","10112",Valle Viejo
"168","14007",Calamuchita
"169","14014",Capital
"170","14021",Colón
"171","14028",Cruz del Eje
"172","14035",General Roca
"173","14042",General San Martín
"174","14049",Ischilín
"175","14056",Juárez Celman
"176","14063",Marcos Juárez
"177","14070",Minas
"178","14077",Pocho
"179","14084",Presidente Roque Sáenz Peña
"180","14091",Punilla
"181","14098",Río Cuarto
"182","14105",Río Primero
"183","14112",Río Seco
"184","14119",Río Segundo
"185","14126",San Alberto
"186","14133",San Javier
"187","14140",San Justo
"188","14147",Santa María
"189","14154",Sobremonte
"190","14161",Tercero Arriba
"191","14168",Totoral
"192","14175",Tulumba
"193","14182",Unión
"194","18007",Bella Vista
"195","18014",Berón de Astrada
"196","18021",Capital
"197","18028",Concepción
"198","18035",Curuzú Cuatiá
"199","18042",Empedrado
"200","18049",Esquina
"201","18056",General Alvear
"202","18063",General Paz
"203","18070",Goya
"204","18077",Itatí
"205","18084",Ituzaingó
"206","18091",Lavalle
"207","18098",Mburucuyá
"208","18105",Mercedes
"209","18112",Monte Caseros
"210","18119",Paso de los Libres
"211","18126",Saladas
"212","18133",San Cosme
"213","18140",San Luis del Palmar
"214","18147",San Martín
"215","18154",San Miguel
"216","18161",San Roque
"217","18168",Santo Tomé
"218","18175",Sauce
"219","22007",Almirante Brown
"220","22014",Bermejo
"221","22021",Comandante Fernández
"222","22028",Chacabuco
"223","22036",12 de Octubre
"224","22039",2 de Abril
"225","22043",Fray Justo Santa María de Oro
"226","22049",General Belgrano
"227","22056",General Donovan
"228","22063",General Güemes
"229","22070",Independencia
"230","22077",Libertad
"231","22084",Libertador General San Martín
"232","22091",Maipú
"233","22098",Mayor Luis J. Fontana
"234","22105",9 de Julio
"235","22112",O'Higgins
"236","22119",Presidencia de la Plaza
"237","22126",1º de Mayo
"238","22133",Quitilipi
"239","22140",San Fernando
"240","22147",San Lorenzo
"241","22154",Sargento Cabral
"242","22161",Tapenagá
"243","22168",25 de Mayo
"244","26007",Biedma
"245","26014",Cushamen
"246","26021",Escalante
"247","26028",Florentino Ameghino
"248","26035",Futaleufú
"249","26042",Gaiman
"250","26049",Gastre
"251","26056",Languiñeo
"252","26063",Mártires
"253","26070",Paso de Indios
"254","26077",Rawson
"255","26084",Río Senguer
"256","26091",Sarmiento
"257","26098",Tehuelches
"258","26105",Telsen
"259","30008",Colón
"260","30015",Concordia
"261","30021",Diamante
"262","30028",Federación
"263","30035",Federal
"264","30042",Feliciano
"265","30049",Gualeguay
"266","30056",Gualeguaychú
"267","30063",Islas del Ibicuy
"268","30070",La Paz
"269","30077",Nogoyá
"270","30084",Paraná
"271","30088",San Salvador
"272","30091",Tala
"273","30098",Uruguay
"274","30105",Victoria
"275","30113",Villaguay
"276","34007",Bermejo
"277","34014",Formosa
"278","34021",Laishi
"279","34028",Matacos
"280","34035",Patiño
"281","34042",Pilagás
"282","34049",Pilcomayo
"283","34056",Pirané
"284","34063",Ramón Lista
"285","38007",Cochinoca
"286","38014",El Carmen
"287","38021",Dr. Manuel Belgrano
"288","38028",Humahuaca
"289","38035",Ledesma
"291","38049",Rinconada
"292","38056",San Antonio
"293","38063",San Pedro
"294","38070",Santa Bárbara
"295","38077",Santa Catalina
