_uid_,prov,depto,codloc,frac,radio,seg,descripcion
"1","38","028","040","04","01","01",manzana 001 completa
"2","38","028","040","04","01","02",manzana 002 completa
"3","38","028","040","04","01","03",manzana 003 completa
"4","38","028","040","04","01","04",manzana 004 completa
"5","38","028","040","04","01","05",manzana 005 completa
"6","38","028","040","04","01","06",manzana 006 completa
"7","38","028","040","04","01","07",manzana 007 completa
"8","38","028","040","04","01","08",manzana 008 completa
"9","38","028","040","04","01","09",manzana 009 completa
"10","38","028","040","04","01","10",manzana 010 completa
"11","38","028","040","04","01","11",manzana 011 completa
"12","38","028","040","04","01","12",manzana 012 completa
"13","38","028","040","04","01","13",manzana 013 completa
"14","38","028","040","04","01","14",manzana 014 completa
"15","38","028","040","04","01","15",manzana 015 completa
"16","38","028","040","04","01","16",manzana 016 completa
"17","38","028","040","04","01","17",manzana 017 completa
"18","38","028","040","04","01","18",manzana 018 completa
"19","38","028","040","04","01","19",manzana 019 completa
"20","38","028","040","04","01","20",manzana 020 completa
"21","38","028","040","04","01","21",manzana 021 completa
"22","38","028","040","04","01","22",manzana 022 completa
"23","38","028","040","04","01","23",manzana 023 completa
"24","38","028","040","04","01","24",manzana 024 completa
"25","38","028","040","04","01","25",manzana 025 completa
"26","38","028","040","04","01","26",manzana 026 completa
"27","38","028","040","04","01","27",manzana 027 completa
"28","38","028","040","04","01","28",manzana 028 completa
"29","38","028","040","04","01","29",manzana 029 completa
"30","38","028","040","04","01","30",manzana 030 completa
"31","38","028","040","04","01","31",manzana 031 completa
"32","38","028","040","04","01","32",manzana 032 completa
"33","38","028","040","04","01","33",manzana 033 completa
"34","38","028","040","04","01","34",manzana 034 completa
"35","38","028","040","04","01","35",manzana 035 completa
"36","38","028","040","04","01","36",manzana 036 completa
"37","38","028","040","04","01","37",manzana 037 completa
"38","38","028","040","04","01","38",manzana 038 completa
"39","38","028","040","04","02","01",manzana 032 completa
"40","38","028","040","04","02","02","manzana 029 completa, manzana 030 completa, manzana 031 completa"
"41","38","028","040","04","02","03",manzana 059 completa
"42","38","028","040","04","02","04",manzana 060 completa
"43","38","028","040","04","02","05","manzana 043 lado 02, manzana 044 completa, manzana 045 completa, manzana 046 lados 02 03, manzana 050 completa, manzana 051 completa"
"44","38","028","040","04","02","06","manzana 020 completa, manzana 021 completa"
"45","38","028","040","04","02","07",manzana 054 completa
"46","38","028","040","04","02","08",manzana 053 completa
"47","38","028","040","04","02","09",manzana 023 completa
"48","38","028","040","04","02","10","manzana 022 completa, manzana 027 completa"
"49","38","028","040","04","02","11",manzana 025 completa
"50","38","028","040","04","02","12",manzana 062 completa
"51","38","028","040","04","02","13",manzana 061 completa
"52","38","028","040","04","02","14",manzana 063 completa
"53","38","028","040","04","02","15",manzana 010 completa
"54","38","028","040","04","02","16","manzana 008 completa, manzana 009 completa"
"55","38","028","040","04","02","17",manzana 018 completa
"56","38","028","040","04","02","18",manzana 016 completa
"57","38","028","040","04","02","19",manzana 019 completa
"58","38","028","040","04","02","20",manzana 034 completa
"59","38","028","040","04","02","21",manzana 035 completa
"60","38","028","040","04","02","22",manzana 052 completa
"61","38","028","040","04","02","23",manzana 026 completa
"62","38","028","040","04","02","24",manzana 041 lado 01
"63","38","028","040","04","02","25",manzana 040 completa
"64","38","028","040","04","02","26",manzana 047 completa
"65","38","028","040","04","02","27",manzana 011 completa
"66","38","028","040","04","02","28",manzana 012 completa
"67","38","028","040","04","02","29",manzana 057 completa
"68","38","028","040","04","02","30",manzana 024 completa
"69","38","028","040","04","02","31",manzana 058 completa
"70","38","028","040","04","02","32",manzana 046 lado 04
"71","38","028","040","04","02","33",manzana 046 lado 05
"72","38","028","040","04","02","34",manzana 015 completa
"73","38","028","040","04","02","35",manzana 014 completa
"74","38","028","040","04","02","36",manzana 007 completa
"75","38","028","040","04","02","37","manzana 002 completa, manzana 003 completa, manzana 005 completa, manzana 006 completa"
"76","38","028","040","04","02","38",manzana 028 completa
"77","38","028","040","04","02","39",manzana 056 completa
"78","38","028","040","04","02","40",manzana 055 completa
"79","38","028","040","04","02","41",manzana 049 completa
"80","38","028","040","04","02","42",manzana 037 completa
"81","38","028","040","04","02","43",manzana 038 completa
"82","38","028","040","04","02","44",manzana 036 completa
"83","38","028","040","04","02","45",manzana 048 completa
"84","38","028","040","04","02","46",manzana 033 completa
